"rt","stimulus","response","screen","trial_type","trial_index","time_elapsed","internal_node_id","label_stranger","label_friend","question_order","success","timeout","failed_images","failed_audio","failed_video","trial_duration","shape","trial_number","answer","answer_correct","correct","condition","label_condition","block_number"
"null","<p style = 'font-size: 300%; color:green'>Correct!</p>","null","sat_feedback","html-keyboard-response","10","60350","0.0-8.0-2.0","Madonna","njn","","","","","","","","","","","","","","",""
"null","<div  style='font-size:500%; position:fixed; text-align: center; top:50%; bottom:50%; right:20%; left:20%'>+</div>","null","sat_fixationcross","html-keyboard-response","11","60877","0.0-8.0-0.1","Madonna","njn","","","","","","","500","","","","","","","",""
"269","<div style='bottom:60%; right:20%; left:20%; position:fixed'><img src=https://realitybending.github.io/IllusionGameSelfAssociation/experiment/SelfAssociation/stimuli/triangle.png height=20%></img></div><div  style='font-size:500%; position:fixed; text-align: center; top:50%; bottom:50%; right:20%; left:20%'>+</div><div style = ""font-size:300%; text-align: center; position:fixed; top:70%; left:20%""><b>You</b></br></br></br></br>v</div><div style = ""font-size:300%; text-align: center; position:fixed; top:70%; right:20%; left:20%""><b>Madonna</b></br></br></br></br>b</div><div style = ""font-size:300%; text-align: center; position:fixed; top:70%; right:20%""><b>njn</b></br></br></br></br>n</div>","n","sat_practicetrial","html-keyboard-response","12","61147","0.0-8.0-1.1","Madonna","njn","","","","","","","","triangle","2","njn","You","false","Self","",""
"null","<p style = 'font-size: 300%; color:red'>Incorrect!</p>","null","sat_feedback","html-keyboard-response","13","61653","0.0-8.0-2.1","Madonna","njn","","","","","","","","","","","","","","",""
"null","<div  style='font-size:500%; position:fixed; text-align: center; top:50%; bottom:50%; right:20%; left:20%'>+</div>","null","sat_fixationcross","html-keyboard-response","14","62155","0.0-8.0-0.2","Madonna","njn","","","","","","","500","","","","","","","",""
"267","<div style='bottom:60%; right:20%; left:20%; position:fixed'><img src=https://realitybending.github.io/IllusionGameSelfAssociation/experiment/SelfAssociation/stimuli/square.png height=20%></img></div><div  style='font-size:500%; position:fixed; text-align: center; top:50%; bottom:50%; right:20%; left:20%'>+</div><div style = ""font-size:300%; text-align: center; position:fixed; top:70%; left:20%""><b>You</b></br></br></br></br>v</div><div style = ""font-size:300%; text-align: center; position:fixed; top:70%; right:20%; left:20%""><b>Madonna</b></br></br></br></br>b</div><div style = ""font-size:300%; text-align: center; position:fixed; top:70%; right:20%""><b>njn</b></br></br></br></br>n</div>","v","sat_practicetrial","html-keyboard-response","15","62424","0.0-8.0-1.2","Madonna","njn","","","","","","","","square","3","You","njn","false","Friend","",""
"null","<p style = 'font-size: 300%; color:red'>Incorrect!</p>","null","sat_feedback","html-keyboard-response","16","62926","0.0-8.0-2.2","Madonna","njn","","","","","","","","","","","","","","",""
"null","<div  style='font-size:500%; position:fixed; text-align: center; top:50%; bottom:50%; right:20%; left:20%'>+</div>","null","sat_fixationcross","html-keyboard-response","17","63444","0.0-8.0-0.3","Madonna","njn","","","","","","","500","","","","","","","",""
"210","<div style='bottom:60%; right:20%; left:20%; position:fixed'><img src=https://realitybending.github.io/IllusionGameSelfAssociation/experiment/SelfAssociation/stimuli/circle.png height=20%></img></div><div  style='font-size:500%; position:fixed; text-align: center; top:50%; bottom:50%; right:20%; left:20%'>+</div><div style = ""font-size:300%; text-align: center; position:fixed; top:70%; left:20%""><b>You</b></br></br></br></br>v</div><div style = ""font-size:300%; text-align: center; position:fixed; top:70%; right:20%; left:20%""><b>Madonna</b></br></br></br></br>b</div><div style = ""font-size:300%; text-align: center; position:fixed; top:70%; right:20%""><b>njn</b></br></br></br></br>n</div>","b","sat_practicetrial","html-keyboard-response","18","63655","0.0-8.0-1.3","Madonna","njn","","","","","","","","circle","4","Madonna","Madonna","true","Stranger","",""
"null","<p style = 'font-size: 300%; color:green'>Correct!</p>","null","sat_feedback","html-keyboard-response","19","64163","0.0-8.0-2.3","Madonna","njn","","","","","","","","","","","","","","",""
