"rt","stimulus","response","screen","trial_type","trial_index","time_elapsed","internal_node_id","label_stranger","label_friend","question_order","success","timeout","failed_images","failed_audio","failed_video","trial_duration","shape","trial_number","answer","answer_correct","correct","condition","label_condition","block_number"
"null","<p style = 'font-size: 300%; color:green'>Correct!</p>","null","sat_feedback","html-keyboard-response","31","53413","0.0-12.0-2.0","Eminem","Babar","","","","","","","","","","","","","","",""
"null","<div  style='font-size:500%; position:fixed; text-align: center; top:50%; bottom:50%; right:20%; left:20%'>+</div>","null","sat_fixationcross","html-keyboard-response","32","53925","0.0-12.0-0.1","Eminem","Babar","","","","","","","500","","","","","","","",""
"1060","<div style='bottom:60%; right:20%; left:20%; position:fixed'><img src=https://realitybending.github.io/IllusionGameSelfAssociation/experiment/SelfAssociation/stimuli/square.png height=20%></img></div><div  style='font-size:500%; position:fixed; text-align: center; top:50%; bottom:50%; right:20%; left:20%'>+</div><div style = ""font-size:300%; text-align: center; position:fixed; top:70%; right:20%; left:20%""><b>Babar</div>","i","sat_trial","html-keyboard-response","33","54986","0.0-12.0-1.1","Eminem","Babar","","","","","","","","square","2","mismatch","match","false","","Stranger","1"
"null","<p style = 'font-size: 300%; color:red'>Incorrect!</p>","null","sat_feedback","html-keyboard-response","34","55492","0.0-12.0-2.1","Eminem","Babar","","","","","","","","","","","","","","",""
"null","<div  style='font-size:500%; position:fixed; text-align: center; top:50%; bottom:50%; right:20%; left:20%'>+</div>","null","sat_fixationcross","html-keyboard-response","35","56007","0.0-12.0-0.2","Eminem","Babar","","","","","","","500","","","","","","","",""
"659","<div style='bottom:60%; right:20%; left:20%; position:fixed'><img src=https://realitybending.github.io/IllusionGameSelfAssociation/experiment/SelfAssociation/stimuli/triangle.png height=20%></img></div><div  style='font-size:500%; position:fixed; text-align: center; top:50%; bottom:50%; right:20%; left:20%'>+</div><div style = ""font-size:300%; text-align: center; position:fixed; top:70%; right:20%; left:20%""><b>You</div>","e","sat_trial","html-keyboard-response","36","56668","0.0-12.0-1.2","Eminem","Babar","","","","","","","","triangle","3","match","match","true","","Self","1"
"null","<p style = 'font-size: 300%; color:green'>Correct!</p>","null","sat_feedback","html-keyboard-response","37","57172","0.0-12.0-2.2","Eminem","Babar","","","","","","","","","","","","","","",""
"null","<div  style='font-size:500%; position:fixed; text-align: center; top:50%; bottom:50%; right:20%; left:20%'>+</div>","null","sat_fixationcross","html-keyboard-response","38","57681","0.0-12.0-0.3","Eminem","Babar","","","","","","","500","","","","","","","",""
"1116","<div style='bottom:60%; right:20%; left:20%; position:fixed'><img src=https://realitybending.github.io/IllusionGameSelfAssociation/experiment/SelfAssociation/stimuli/square.png height=20%></img></div><div  style='font-size:500%; position:fixed; text-align: center; top:50%; bottom:50%; right:20%; left:20%'>+</div><div style = ""font-size:300%; text-align: center; position:fixed; top:70%; right:20%; left:20%""><b>You</div>","e","sat_trial","html-keyboard-response","39","58797","0.0-12.0-1.3","Eminem","Babar","","","","","","","","square","4","match","mismatch","false","","Self","1"
"null","<p style = 'font-size: 300%; color:red'>Incorrect!</p>","null","sat_feedback","html-keyboard-response","40","59312","0.0-12.0-2.3","Eminem","Babar","","","","","","","","","","","","","","",""
"null","<div  style='font-size:500%; position:fixed; text-align: center; top:50%; bottom:50%; right:20%; left:20%'>+</div>","null","sat_fixationcross","html-keyboard-response","41","59812","0.0-12.0-0.4","Eminem","Babar","","","","","","","500","","","","","","","",""
"1170","<div style='bottom:60%; right:20%; left:20%; position:fixed'><img src=https://realitybending.github.io/IllusionGameSelfAssociation/experiment/SelfAssociation/stimuli/triangle.png height=20%></img></div><div  style='font-size:500%; position:fixed; text-align: center; top:50%; bottom:50%; right:20%; left:20%'>+</div><div style = ""font-size:300%; text-align: center; position:fixed; top:70%; right:20%; left:20%""><b>Eminem</div>","i","sat_trial","html-keyboard-response","42","60983","0.0-12.0-1.4","Eminem","Babar","","","","","","","","triangle","5","mismatch","mismatch","true","","Friend","1"
"null","<p style = 'font-size: 300%; color:green'>Correct!</p>","null","sat_feedback","html-keyboard-response","43","61490","0.0-12.0-2.4","Eminem","Babar","","","","","","","","","","","","","","",""
"null","<div  style='font-size:500%; position:fixed; text-align: center; top:50%; bottom:50%; right:20%; left:20%'>+</div>","null","sat_fixationcross","html-keyboard-response","44","62005","0.0-12.0-0.5","Eminem","Babar","","","","","","","500","","","","","","","",""
"1231","<div style='bottom:60%; right:20%; left:20%; position:fixed'><img src=https://realitybending.github.io/IllusionGameSelfAssociation/experiment/SelfAssociation/stimuli/circle.png height=20%></img></div><div  style='font-size:500%; position:fixed; text-align: center; top:50%; bottom:50%; right:20%; left:20%'>+</div><div style = ""font-size:300%; text-align: center; position:fixed; top:70%; right:20%; left:20%""><b>You</div>","i","sat_trial","html-keyboard-response","45","63236","0.0-12.0-1.5","Eminem","Babar","","","","","","","","circle","6","mismatch","mismatch","true","","Self","1"
"null","<p style = 'font-size: 300%; color:green'>Correct!</p>","null","sat_feedback","html-keyboard-response","46","63740","0.0-12.0-2.5","Eminem","Babar","","","","","","","","","","","","","","",""
"null","<div  style='font-size:500%; position:fixed; text-align: center; top:50%; bottom:50%; right:20%; left:20%'>+</div>","null","sat_fixationcross","html-keyboard-response","47","64251","0.0-12.0-0.6","Eminem","Babar","","","","","","","500","","","","","","","",""
"498","<div style='bottom:60%; right:20%; left:20%; position:fixed'><img src=https://realitybending.github.io/IllusionGameSelfAssociation/experiment/SelfAssociation/stimuli/circle.png height=20%></img></div><div  style='font-size:500%; position:fixed; text-align: center; top:50%; bottom:50%; right:20%; left:20%'>+</div><div style = ""font-size:300%; text-align: center; position:fixed; top:70%; right:20%; left:20%""><b>Eminem</div>","i","sat_trial","html-keyboard-response","48","64750","0.0-12.0-1.6","Eminem","Babar","","","","","","","","circle","7","mismatch","match","false","","Friend","1"
"505","<p style = 'font-size: 300%; color:red'>Incorrect!</p>","e","sat_feedback","html-keyboard-response","49","65255","0.0-12.0-2.6","Eminem","Babar","","","","","","","","","","","","","","",""
"null","<div  style='font-size:500%; position:fixed; text-align: center; top:50%; bottom:50%; right:20%; left:20%'>+</div>","null","sat_fixationcross","html-keyboard-response","50","65756","0.0-12.0-0.7","Eminem","Babar","","","","","","","500","","","","","","","",""
"487","<div style='bottom:60%; right:20%; left:20%; position:fixed'><img src=https://realitybending.github.io/IllusionGameSelfAssociation/experiment/SelfAssociation/stimuli/triangle.png height=20%></img></div><div  style='font-size:500%; position:fixed; text-align: center; top:50%; bottom:50%; right:20%; left:20%'>+</div><div style = ""font-size:300%; text-align: center; position:fixed; top:70%; right:20%; left:20%""><b>Babar</div>","e","sat_trial","html-keyboard-response","51","66244","0.0-12.0-1.7","Eminem","Babar","","","","","","","","triangle","8","match","mismatch","false","","Stranger","1"
"null","<p style = 'font-size: 300%; color:red'>Incorrect!</p>","null","sat_feedback","html-keyboard-response","52","66749","0.0-12.0-2.7","Eminem","Babar","","","","","","","","","","","","","","",""
"null","<div  style='font-size:500%; position:fixed; text-align: center; top:50%; bottom:50%; right:20%; left:20%'>+</div>","null","sat_fixationcross","html-keyboard-response","53","67259","0.0-12.0-0.8","Eminem","Babar","","","","","","","500","","","","","","","",""
"697","<div style='bottom:60%; right:20%; left:20%; position:fixed'><img src=https://realitybending.github.io/IllusionGameSelfAssociation/experiment/SelfAssociation/stimuli/square.png height=20%></img></div><div  style='font-size:500%; position:fixed; text-align: center; top:50%; bottom:50%; right:20%; left:20%'>+</div><div style = ""font-size:300%; text-align: center; position:fixed; top:70%; right:20%; left:20%""><b>Eminem</div>","e","sat_trial","html-keyboard-response","54","67956","0.0-12.0-1.8","Eminem","Babar","","","","","","","","square","9","match","mismatch","false","","Friend","1"
"null","<p style = 'font-size: 300%; color:red'>Incorrect!</p>","null","sat_feedback","html-keyboard-response","55","68471","0.0-12.0-2.8","Eminem","Babar","","","","","","","","","","","","","","",""
"12286","<p>You responded correctly on <b>44.44%</b> of the trials.</p>","0","sat_block_debrief","html-button-response","56","80758","0.0-13.0","Eminem","Babar","","","","","","","","","","","","","","",""
