"success","trial_type","trial_index","time_elapsed","internal_node_id","label_stranger","label_friend","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","screen","date","time","screen_height","screen_width","researcher","sona_id","prolific_id","study_id","session_id","rt","stimulus","response","question_order","timeout","failed_images","failed_audio","failed_video","trial_duration","shape","trial_number","answer","answer_correct","correct","condition","label_condition","block_number","file","block","correct_response","Illusion_Type","Illusion_Strength","Illusion_Difference","isi","fixation_cross","type","illusion_strength","illusion_difference"
"","html-keyboard-response","435","163762","0.0-22.0-0.133","Eminem","xxx","","","","","","","","","","","","sat_fixationcross","","","","","","","","","","null","<div  style='font-size:500%; position:fixed; text-align: center; top:50%; bottom:50%; right:20%; left:20%'>+</div>","null","","","","","","500","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","436","163855","0.0-22.0-1.133","Eminem","xxx","","","","","","","","","","","","sat_trial","","","","","","","","","","93","<div style='bottom:60%; right:20%; left:20%; position:fixed'><img src=https://realitybending.github.io/IllusionGameSelfAssociation/experiment/SelfAssociation/stimuli/triangle.png height=20%></img></div><div  style='font-size:500%; position:fixed; text-align: center; top:50%; bottom:50%; right:20%; left:20%'>+</div><div style = ""font-size:300%; text-align: center; position:fixed; top:70%; right:20%; left:20%""><b>Eminem</div>","e","","","","","","","triangle","134","match","mismatch","false","","Stranger","1","","","","","","","","","","",""
"","html-keyboard-response","437","164068","0.0-22.0-2.133","Eminem","xxx","","","","","","","","","","","","sat_feedback","","","","","","","","","","213","<p style = 'font-size: 300%; color:red'>Incorrect!</p>","e","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","438","164571","0.0-22.0-0.134","Eminem","xxx","","","","","","","","","","","","sat_fixationcross","","","","","","","","","","null","<div  style='font-size:500%; position:fixed; text-align: center; top:50%; bottom:50%; right:20%; left:20%'>+</div>","null","","","","","","500","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","439","164658","0.0-22.0-1.134","Eminem","xxx","","","","","","","","","","","","sat_trial","","","","","","","","","","87","<div style='bottom:60%; right:20%; left:20%; position:fixed'><img src=https://realitybending.github.io/IllusionGameSelfAssociation/experiment/SelfAssociation/stimuli/circle.png height=20%></img></div><div  style='font-size:500%; position:fixed; text-align: center; top:50%; bottom:50%; right:20%; left:20%'>+</div><div style = ""font-size:300%; text-align: center; position:fixed; top:70%; right:20%; left:20%""><b>xxx</div>","e","","","","","","","circle","135","match","match","true","","Friend","1","","","","","","","","","","",""
"","html-keyboard-response","440","164849","0.0-22.0-2.134","Eminem","xxx","","","","","","","","","","","","sat_feedback","","","","","","","","","","191","<p style = 'font-size: 300%; color:green'>Correct!</p>","e","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","441","165351","0.0-22.0-0.135","Eminem","xxx","","","","","","","","","","","","sat_fixationcross","","","","","","","","","","null","<div  style='font-size:500%; position:fixed; text-align: center; top:50%; bottom:50%; right:20%; left:20%'>+</div>","null","","","","","","500","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","442","165428","0.0-22.0-1.135","Eminem","xxx","","","","","","","","","","","","sat_trial","","","","","","","","","","76","<div style='bottom:60%; right:20%; left:20%; position:fixed'><img src=https://realitybending.github.io/IllusionGameSelfAssociation/experiment/SelfAssociation/stimuli/triangle.png height=20%></img></div><div  style='font-size:500%; position:fixed; text-align: center; top:50%; bottom:50%; right:20%; left:20%'>+</div><div style = ""font-size:300%; text-align: center; position:fixed; top:70%; right:20%; left:20%""><b>You</div>","e","","","","","","","triangle","136","match","match","true","","Self","1","","","","","","","","","","",""
"","html-keyboard-response","443","165634","0.0-22.0-2.135","Eminem","xxx","","","","","","","","","","","","sat_feedback","","","","","","","","","","206","<p style = 'font-size: 300%; color:green'>Correct!</p>","e","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","444","166135","0.0-22.0-0.136","Eminem","xxx","","","","","","","","","","","","sat_fixationcross","","","","","","","","","","null","<div  style='font-size:500%; position:fixed; text-align: center; top:50%; bottom:50%; right:20%; left:20%'>+</div>","null","","","","","","500","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","445","166242","0.0-22.0-1.136","Eminem","xxx","","","","","","","","","","","","sat_trial","","","","","","","","","","106","<div style='bottom:60%; right:20%; left:20%; position:fixed'><img src=https://realitybending.github.io/IllusionGameSelfAssociation/experiment/SelfAssociation/stimuli/triangle.png height=20%></img></div><div  style='font-size:500%; position:fixed; text-align: center; top:50%; bottom:50%; right:20%; left:20%'>+</div><div style = ""font-size:300%; text-align: center; position:fixed; top:70%; right:20%; left:20%""><b>Eminem</div>","e","","","","","","","triangle","137","match","mismatch","false","","Stranger","1","","","","","","","","","","",""
"","html-keyboard-response","446","166413","0.0-22.0-2.136","Eminem","xxx","","","","","","","","","","","","sat_feedback","","","","","","","","","","171","<p style = 'font-size: 300%; color:red'>Incorrect!</p>","e","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","447","166915","0.0-22.0-0.137","Eminem","xxx","","","","","","","","","","","","sat_fixationcross","","","","","","","","","","null","<div  style='font-size:500%; position:fixed; text-align: center; top:50%; bottom:50%; right:20%; left:20%'>+</div>","null","","","","","","500","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","448","166950","0.0-22.0-1.137","Eminem","xxx","","","","","","","","","","","","sat_trial","","","","","","","","","","35","<div style='bottom:60%; right:20%; left:20%; position:fixed'><img src=https://realitybending.github.io/IllusionGameSelfAssociation/experiment/SelfAssociation/stimuli/triangle.png height=20%></img></div><div  style='font-size:500%; position:fixed; text-align: center; top:50%; bottom:50%; right:20%; left:20%'>+</div><div style = ""font-size:300%; text-align: center; position:fixed; top:70%; right:20%; left:20%""><b>xxx</div>","e","","","","","","","triangle","138","match","mismatch","false","","Friend","1","","","","","","","","","","",""
